ds,y,holiday_flg,year,month,quarter,w_monday,w_tuesday,w_wednesday,w_thursday,w_friday,w_saturday,w_sunday,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016/6/1,48,0,2016,6,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,21.8,25.7,18.6,0,4.3,12.42,3.5,17.1,1004.3,66,1006.1,5.5
2016/6/2,51,0,2016,6,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,20.4,24.9,15.9,0,13.5,30.16,4.3,15.5,1008.1,65,1009.9,2
2016/6/3,50,0,2016,6,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,21.9,27.9,16.5,0,11.2,27.93,2.3,15.8,1009.8,61,1011.5,9
2016/6/4,25,0,2016,6,4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,19.9,22.9,17.9,22.5,0,5.69,2,18.5,1006.7,81,1008.5,10
2016/6/5,37,0,2016,6,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,20.1,22.8,18.2,3,0,7.58,1.7,20.6,1006.3,88,1008,10
2016/6/6,33,0,2016,6,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,22.3,25.6,18.9,1.5,1.1,13.83,1.6,22.4,1009.8,84,1011.5,9.5
2016/6/7,48,0,2016,6,7,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,23.4,27.1,20.8,0,4.7,18.46,2,23.3,1008.5,81,1010.2,8.8
2016/6/8,30,0,2016,6,8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,23.4,26.9,21.4,0,6,20.42,2.3,22.8,1008.3,79,1010,10
2016/6/9,40,0,2016,6,9,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,23.4,28.4,21,1,8.7,22.94,2.5,23,1009.1,81,1010.8,7.3
2016/6/10,35,0,2016,6,10,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,24.3,28.7,21,0,12.2,27.59,2.5,23.7,1010.7,79,1012.4,3.8
2016/6/11,31,0,2016,6,11,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,26.5,30.8,23.1,0.02631578947368421,5.7,21.26,2.2,24.6,1009.7,72,1011.4,10
2016/6/12,32,0,2016,6,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,23.9,26.3,21.7,12,0,5.52,2.2,25.4,1003.7,86,1005.4,10
2016/6/13,25,0,2016,6,13,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,23.4,27.4,21.7,0.5,8.1,21.73,3.7,25.2,999.9,88,1001.6,6
2016/6/14,40,0,2016,6,14,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,24,27.7,21.9,0,9.1,26.06,3.3,23.8,1002.5,80,1004.2,7.3
2016/6/15,33,0,2016,6,15,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,25.3,29,21.6,0,8.7,22.16,2.4,24.8,1002.5,77,1004.2,8.3
2016/6/16,28,0,2016,6,16,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,24.5,27.4,21.7,11,0,3.55,2.6,24.5,999.3,80,1001,10
2016/6/17,50,0,2016,6,17,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,24.1,28.5,21.2,0.027777777777777776,8,24.07,2.6,21,1007.6,71,1009.3,9.3
2016/6/18,35,0,2016,6,18,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,25,29.4,20.4,0,11.2,27.22,2.5,22.8,1011.8,73,1013.6,8
2016/6/19,36,0,2016,6,19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,26.1,32,22.6,76,3,14.27,2.3,28.5,1008.2,85,1009.9,9.8
2016/6/20,22,0,2016,6,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,25.6,28.3,23.2,49.5,0,6.06,2.6,29.3,1006.2,89,1007.9,10
2016/6/21,43,0,2016,6,21,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,25.4,29.5,22.6,5.5,5.3,17.27,2.5,27.8,1005.8,86,1007.5,9.8
2016/6/22,18,0,2016,6,22,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,24,26.6,22.5,129.5,0,2.95,2.3,28.7,1004.1,96,1005.8,10
2016/6/23,35,0,2016,6,23,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,24,28.2,22.7,9.5,1.4,12.63,2.5,27.4,1004.5,92,1006.2,10
2016/6/24,53,0,2016,6,24,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,27.4,30.8,22.6,1.5,0.5,10.61,4.4,28.8,1000.4,80,1002.1,10
2016/6/25,45,0,2016,6,25,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,23,26.3,20.5,0.5,0,4.81,2.9,19.8,1005,70,1006.7,10
2016/6/26,38,0,2016,6,26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,24.4,28.7,20.3,0,11.2,27.72,3.1,19.6,1008.8,65,1010.5,3
2016/6/27,33,0,2016,6,27,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20.8,25.2,17.4,16,1.4,7.03,2.2,20.6,1009.2,85,1011,9.3
2016/6/28,33,0,2016,6,28,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,21,23.4,18.7,11,0,5.78,1.2,23.5,1009.3,95,1011,10
2016/6/29,16,0,2016,6,29,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,23.3,26.2,21.3,44,0.1,5.41,1.7,27.8,1010,97,1011.7,10
2016/6/30,60,0,2016,6,30,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,25,28.2,22.6,0,2.3,12.46,1.7,28.1,1011,89,1012.7,8
2016/7/1,32,0,2016,7,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,27.8,33.3,23.5,0.5,7.5,20.1,3.5,27.2,1009.9,73,1011.6,8.8
2016/7/2,1,0,2016,7,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,30.3,33.8,28.3,0.5,5.4,20.33,4.7,29,1007.7,67,1009.4,10
2016/7/3,26,0,2016,7,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,30,33.6,28.3,1.5,4.7,16.22,3.2,30,1008.9,71,1010.6,8.8
2016/7/4,34,0,2016,7,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,30.7,35.4,27.7,0,7,20.62,3.2,30.1,1010.6,69,1012.3,8.8
2016/7/5,39,0,2016,7,5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,30.4,35.3,26.5,0,10.6,23.96,2.6,29.3,1013.2,68,1014.9,9.5
2016/7/6,33,0,2016,7,6,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,29.8,34.4,26.5,0,11.7,27.83,2.8,28.8,1014.5,69,1016.2,3.8
2016/7/7,38,0,2016,7,7,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,28.1,32.2,25.5,0,7.7,22.04,2.5,30.8,1013.1,81,1014.8,6.5
2016/7/8,44,0,2016,7,8,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,24.9,27.6,22.9,41.5,0,5.2,2.4,28.6,1007.9,91,1009.6,10
2016/7/9,32,0,2016,7,9,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,26.2,30,23.6,0.5,4.9,19.84,2.2,30,1004.4,89,1006.1,9.8
2016/7/10,35,0,2016,7,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,27.1,30.5,25.3,6.5,2.9,15.29,1.9,31.9,1003.2,89,1004.9,10
2016/7/11,43,0,2016,7,11,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,27.2,29.7,25.6,13.5,0.3,8.87,2.1,32.6,1004.1,90,1005.8,10
2016/7/12,20,0,2016,7,12,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,28.3,33.4,25.6,15,3,14.86,2.7,32.1,1003,85,1004.7,9.8
2016/7/13,26,0,2016,7,13,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,27.2,29.9,24.8,93.5,0.1,5.79,1.9,32.1,1000.3,89,1002,10
2016/7/14,44,0,2016,7,14,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,28,32.3,25.3,0,9.5,26.22,3.6,29.3,999.7,79,1001.4,7.5
2016/7/15,33,0,2016,7,15,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,26.1,30,24.2,0,10.6,27.49,4.7,24.9,1002.6,74,1004.3,6.3
2016/7/16,30,0,2016,7,16,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,28.2,34.3,23.9,6,5.9,20.49,3.1,28.7,1001.7,75,1003.4,8.8
2016/7/17,35,0,2016,7,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,27.2,30.8,25.2,0.5,6.3,21.2,3.1,27.5,1006.3,77,1008,8.8
2016/7/18,51,1,2016,7,18,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,27.1,31.4,23.9,0,8.1,23.18,2.5,27.5,1008.4,77,1010.1,9.3
2016/7/19,34,0,2016,7,19,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,27.4,31.5,24.6,0,11,26.68,2.9,28.1,1009.2,77,1010.9,4
2016/7/20,25,0,2016,7,20,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,27.3,31.6,25.3,0,9.2,24.45,3,28.2,1009.9,78,1011.6,6
2016/7/21,41,0,2016,7,21,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,26.7,30.9,24.4,0,11.9,27.68,3.1,26.8,1010.1,77,1011.8,4.3
2016/7/22,32,0,2016,7,22,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,26.2,30.6,23.6,0,11.9,25.74,3.1,25.8,1009.1,76,1010.8,6.8
2016/7/23,28,0,2016,7,23,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,27.9,32.7,23.4,0,12.5,27.12,2.3,26.7,1008.7,72,1010.4,6.3
2016/7/24,34,0,2016,7,24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,29.4,33.5,26.7,0,5.9,20.33,2.2,29,1010.1,71,1011.8,5.8
2016/7/25,34,0,2016,7,25,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,29.3,33.4,27,0,7,19.73,2.3,30.5,1010.2,75,1011.9,9.8
2016/7/26,34,0,2016,7,26,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,28.7,33.6,25.6,0,6.9,19.5,2.4,28.8,1008.1,74,1009.8,7.5
2016/7/27,30,0,2016,7,27,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,29.5,34.7,25.8,0,8.7,23.33,2.4,28.5,1006.4,70,1008.1,5.8
2016/7/28,45,0,2016,7,28,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,30.2,35.3,26.8,0,9.6,23.72,2.5,29.5,1007.3,69,1009,6.5
